This is first line
2019-03-16 12:32:16 status unpacked libgail-3-0:amd64 3.22.30-1ubuntu2
2019-03-16 12:32:16 upgrade libx11-doc:all 2:1.6.4-3ubuntu0.1 2:1.6.4-3ubuntu0.2
2019-03-16 12:32:16 status half-configured libx11-doc:all 2:1.6.4-3ubuntu0.1
2019-03-16 12:32:16 status unpacked libx11-doc:all 2:1.6.4-3ubuntu0.1
2019-03-16 12:32:16 status half-installed libx11-doc:all 2:1.6.4-3ubuntu0.1
2019-03-16 12:32:17 status half-installed libx11-doc:all 2:1.6.4-3ubuntu0.1
2019-03-16 12:32:17 status unpacked libx11-doc:all 2:1.6.4-3ubuntu0.2
2019-03-16 12:32:17 status unpacked libx11-doc:all 2:1.6.4-3ubuntu0.2
2019-03-16 12:32:17 upgrade libxcb1-dev:amd64 1.13-1 1.13-2~ubuntu18.04
2019-03-16 12:32:17 status half-configured libxcb1-dev:amd64 1.13-1
2019-03-16 12:32:17 status unpacked libxcb1-dev:amd64 1.13-1
2019-03-16 12:32:17 status half-installed libxcb1-dev:amd64 1.13-1
2019-03-16 12:32:17 status half-installed libxcb1-dev:amd64 1.13-1
2019-03-16 12:32:18 status unpacked libxcb1-dev:amd64 1.13-2~ubuntu18.04
2019-03-16 12:32:18 status unpacked libxcb1-dev:amd64 1.13-2~ubuntu18.04
2019-03-16 12:32:18 upgrade libxcb1:amd64 1.13-1 1.13-2~ubuntu18.04
2019-03-16 12:32:18 status half-configured libxcb1:amd64 1.13-1
2019-03-16 12:32:18 status unpacked libxcb1:amd64 1.13-1
2019-03-16 12:32:18 status half-installed libxcb1:amd64 1.13-1
2019-03-16 12:32:18 status half-installed libxcb1:amd64 1.13-1
2019-03-16 12:32:18 status unpacked libxcb1:amd64 1.13-2~ubuntu18.04
2019-03-16 12:32:18 status unpacked libxcb1:amd64 1.13-2~ubuntu18.04
2019-03-16 12:32:19 upgrade libx11-dev:amd64 2:1.6.4-3ubuntu0.1 2:1.6.4-3ubuntu0.2
2019-03-16 12:32:19 status half-configured libx11-dev:amd64 2:1.6.4-3ubuntu0.1
2019-03-16 12:32:19 status unpacked libx11-dev:amd64 2:1.6.4-3ubuntu0.1
2019-03-16 12:32:19 status half-installed libx11-dev:amd64 2:1.6.4-3ubuntu0.1
2019-03-16 12:32:19 status half-installed libx11-dev:amd64 2:1.6.4-3ubuntu0.1
2019-03-16 12:32:19 status unpacked libx11-dev:amd64 2:1.6.4-3ubuntu0.2
2019-03-16 12:32:19 status unpacked libx11-dev:amd64 2:1.6.4-3ubuntu0.2
2019-03-16 12:32:19 upgrade libx11-data:all 2:1.6.4-3ubuntu0.1 2:1.6.4-3ubuntu0.2
2019-03-16 12:32:19 status half-configured libx11-data:all 2:1.6.4-3ubuntu0.1
2019-03-16 12:32:19 status unpacked libx11-data:all 2:1.6.4-3ubuntu0.1
2019-03-16 12:32:19 status half-installed libx11-data:all 2:1.6.4-3ubuntu0.1
2019-03-16 12:32:20 status half-installed libx11-data:all 2:1.6.4-3ubuntu0.1
2019-03-16 12:32:20 status unpacked libx11-data:all 2:1.6.4-3ubuntu0.2
2019-03-16 12:32:20 status unpacked libx11-data:all 2:1.6.4-3ubuntu0.2
2019-03-16 12:32:20 upgrade libx11-6:amd64 2:1.6.4-3ubuntu0.1 2:1.6.4-3ubuntu0.2
2019-03-16 12:32:20 status half-configured libx11-6:amd64 2:1.6.4-3ubuntu0.1
2019-03-16 12:32:20 status unpacked libx11-6:amd64 2:1.6.4-3ubuntu0.1
2019-03-16 12:32:20 status half-installed libx11-6:amd64 2:1.6.4-3ubuntu0.1
2019-03-16 12:32:21 status half-installed libx11-6:amd64 2:1.6.4-3ubuntu0.1
2019-03-16 12:32:21 status unpacked libx11-6:amd64 2:1.6.4-3ubuntu0.2
2019-03-16 12:32:21 status unpacked libx11-6:amd64 2:1.6.4-3ubuntu0.2
2019-03-16 12:32:21 upgrade libgtk-3-0:amd64 3.22.30-1ubuntu1 3.22.30-1ubuntu2
2019-03-16 12:32:21 status half-configured libgtk-3-0:amd64 3.22.30-1ubuntu1
2019-03-16 12:32:21 status unpacked libgtk-3-0:amd64 3.22.30-1ubuntu1
2019-03-16 12:32:21 status half-installed libgtk-3-0:amd64 3.22.30-1ubuntu1
2019-03-16 12:32:22 status half-installed libgtk-3-0:amd64 3.22.30-1ubuntu1
2019-03-16 12:32:22 status unpacked libgtk-3-0:amd64 3.22.30-1ubuntu2
2019-03-16 12:32:22 status unpacked libgtk-3-0:amd64 3.22.30-1ubuntu2
2019-03-16 12:32:22 upgrade gir1.2-gtk-3.0:amd64 3.22.30-1ubuntu1 3.22.30-1ubuntu2
2019-03-16 12:32:22 status half-configured gir1.2-gtk-3.0:amd64 3.22.30-1ubuntu1
2019-03-16 12:32:23 status unpacked gir1.2-gtk-3.0:amd64 3.22.30-1ubuntu1
2019-03-16 12:32:23 status half-installed gir1.2-gtk-3.0:amd64 3.22.30-1ubuntu1
2019-03-16 12:32:23 status half-installed gir1.2-gtk-3.0:amd64 3.22.30-1ubuntu1
2019-03-16 12:32:23 status unpacked gir1.2-gtk-3.0:amd64 3.22.30-1ubuntu2
2019-03-16 12:32:23 status unpacked gir1.2-gtk-3.0:amd64 3.22.30-1ubuntu2
2019-03-16 12:32:23 upgrade python3-gi:amd64 3.26.1-2 3.26.1-2ubuntu1
2019-03-16 12:32:23 status half-configured python3-gi:amd64 3.26.1-2
2019-03-16 12:32:24 status unpacked python3-gi:amd64 3.26.1-2
2019-03-16 12:32:24 status half-installed python3-gi:amd64 3.26.1-2
2019-03-16 12:32:24 status half-installed python3-gi:amd64 3.26.1-2
2019-03-16 12:32:24 status unpacked python3-gi:amd64 3.26.1-2ubuntu1
2019-03-16 12:32:24 status unpacked python3-gi:amd64 3.26.1-2ubuntu1
2019-03-16 12:32:24 upgrade busybox-static:amd64 1:1.27.2-2ubuntu3 1:1.27.2-2ubuntu3.1
2019-03-16 12:32:24 status half-configured busybox-static:amd64 1:1.27.2-2ubuntu3
2019-03-16 12:32:24 status unpacked busybox-static:amd64 1:1.27.2-2ubuntu3
2019-03-16 12:32:24 status half-installed busybox-static:amd64 1:1.27.2-2ubuntu3
